,,,,,,
ZIP Code,City,County,Type,,,
ZIP Code 84001,Altamont,Duchesne,Standard,,,
ZIP Code 84002,Altonah,Duchesne,Standard,,,
ZIP Code 84003,American Fork,Utah,Standard,,,
ZIP Code 84004,Alpine,Utah,Standard,,,
ZIP Code 84005,Eagle Mountain,Utah,Standard,,,
ZIP Code 84006,Bingham Canyon,Salt Lake,Standard,,,
ZIP Code 84007,Bluebell,Duchesne,Standard,,,
ZIP Code 84008,Bonanza,Uintah,Standard,,,
ZIP Code 84009,South Jordan,Salt Lake,Standard,,,
ZIP Code 84010,Bountiful,Davis,Standard,,,
ZIP Code 84011,Bountiful,Davis,P.O. Box,,,
ZIP Code 84013,Cedar Valley,Utah,Standard,,,
ZIP Code 84014,Centerville,Davis,Standard,,,
ZIP Code 84015,Clearfield,Davis,Standard,,,
ZIP Code 84016,Clearfield,Davis,P.O. Box,,,
ZIP Code 84017,Coalville,Summit,Standard,,,
ZIP Code 84018,Croydon,Morgan,Standard,,,
ZIP Code 84020,Draper,Salt Lake,Standard,,,
ZIP Code 84021,Duchesne,Duchesne,Standard,,,
ZIP Code 84022,Dugway,Tooele,Standard,,,
ZIP Code 84023,Dutch John,Daggett,Standard,,,
ZIP Code 84024,Echo,Summit,P.O. Box,,,
ZIP Code 84025,Farmington,Davis,Standard,,,
ZIP Code 84026,Fort Duchesne,Uintah,Standard,,,
ZIP Code 84027,Fruitland,Duchesne,Standard,,,
ZIP Code 84028,Garden City,Rich,Standard,,,
ZIP Code 84029,Grantsville,Tooele,Standard,,,
ZIP Code 84031,Hanna,Duchesne,Standard,,,
ZIP Code 84032,Heber City,Wasatch,Standard,,,
ZIP Code 84033,Henefer,Summit,P.O. Box,,,
ZIP Code 84034,Ibapah,Tooele,Standard,,,
ZIP Code 84035,Jensen,Uintah,Standard,,,
ZIP Code 84036,Kamas,Summit,Standard,,,
ZIP Code 84037,Kaysville,Davis,Standard,,,
ZIP Code 84038,Laketown,Rich,P.O. Box,,,
ZIP Code 84039,Lapoint,Uintah,Standard,,,
ZIP Code 84040,Layton,Davis,Standard,,,
ZIP Code 84041,Layton,Davis,Standard,,,
ZIP Code 84042,Lindon,Utah,Standard,,,
ZIP Code 84043,Lehi,Utah,Standard,,,
